,participant_number,block_number,condition,RT,group,task
0,1,0,vehicles,706,fruit_vegetable_group,learning
1,1,0,vehicles,672,fruit_vegetable_group,learning
2,1,0,tools,628,fruit_vegetable_group,learning
3,1,0,vehicles,971,fruit_vegetable_group,learning
4,1,0,tools,822,fruit_vegetable_group,learning
5,1,0,tools,748,fruit_vegetable_group,learning
6,1,0,vehicles,644,fruit_vegetable_group,learning
7,1,0,tools,669,fruit_vegetable_group,learning
8,1,0,vehicles,570,fruit_vegetable_group,learning
9,1,0,vehicles,784,fruit_vegetable_group,learning
10,1,0,vehicles,691,fruit_vegetable_group,learning
11,1,0,vehicles,773,fruit_vegetable_group,learning
12,1,0,tools,917,fruit_vegetable_group,learning
13,1,0,vehicles,1116,fruit_vegetable_group,learning
14,1,0,tools,559,fruit_vegetable_group,learning
15,1,0,vehicles,729,fruit_vegetable_group,learning
16,1,0,vehicles,702,fruit_vegetable_group,learning
17,1,0,tools,683,fruit_vegetable_group,learning
18,1,0,vehicles,951,fruit_vegetable_group,learning
19,1,0,tools,962,fruit_vegetable_group,learning
20,1,0,tools,680,fruit_vegetable_group,learning
21,1,0,tools,642,fruit_vegetable_group,learning
22,1,0,vehicles,741,fruit_vegetable_group,learning
23,1,0,tools,589,fruit_vegetable_group,learning
24,1,0,tools,646,fruit_vegetable_group,learning
25,1,0,vehicles,764,fruit_vegetable_group,learning
26,1,0,tools,591,fruit_vegetable_group,learning
27,1,0,vehicles,854,fruit_vegetable_group,learning
28,1,0,tools,723,fruit_vegetable_group,learning
29,1,0,vehicles,1050,fruit_vegetable_group,learning
30,1,0,vehicles,657,fruit_vegetable_group,learning
31,1,0,vehicles,736,fruit_vegetable_group,learning
32,1,0,tools,726,fruit_vegetable_group,learning
33,1,0,tools,636,fruit_vegetable_group,learning
34,1,0,vehicles,807,fruit_vegetable_group,learning
35,1,0,vehicles,678,fruit_vegetable_group,learning
36,1,0,tools,702,fruit_vegetable_group,learning
37,1,0,tools,689,fruit_vegetable_group,learning
38,1,0,tools,649,fruit_vegetable_group,learning
39,1,0,tools,607,fruit_vegetable_group,learning
40,1,0,tools,565,fruit_vegetable_group,learning
41,1,0,vehicles,548,fruit_vegetable_group,learning
42,1,0,vehicles,609,fruit_vegetable_group,learning
43,1,0,vehicles,585,fruit_vegetable_group,learning
44,1,0,vehicles,632,fruit_vegetable_group,learning
45,1,0,vehicles,654,fruit_vegetable_group,learning
46,1,0,vehicles,548,fruit_vegetable_group,learning
47,1,0,vehicles,655,fruit_vegetable_group,learning
48,1,0,tools,717,fruit_vegetable_group,learning
49,1,0,vehicles,644,fruit_vegetable_group,learning
50,1,0,vehicles,713,fruit_vegetable_group,learning
51,1,0,tools,736,fruit_vegetable_group,learning
52,1,0,tools,545,fruit_vegetable_group,learning
53,1,0,tools,467,fruit_vegetable_group,learning
54,1,0,tools,769,fruit_vegetable_group,learning
55,1,0,tools,675,fruit_vegetable_group,learning
56,1,0,vehicles,672,fruit_vegetable_group,learning
57,1,0,vehicles,770,fruit_vegetable_group,learning
58,1,0,tools,619,fruit_vegetable_group,learning
59,1,0,tools,578,fruit_vegetable_group,learning
60,1,0,tools,681,fruit_vegetable_group,learning
61,1,0,vehicles,630,fruit_vegetable_group,learning
62,1,0,vehicles,649,fruit_vegetable_group,learning
63,1,0,tools,771,fruit_vegetable_group,learning
64,1,0,tools,587,fruit_vegetable_group,learning
65,1,0,tools,564,fruit_vegetable_group,learning
66,1,0,vehicles,638,fruit_vegetable_group,learning
67,1,0,tools,615,fruit_vegetable_group,learning
68,1,0,tools,578,fruit_vegetable_group,learning
69,1,1,vehicles,630,fruit_vegetable_group,learning
70,1,1,vehicles,611,fruit_vegetable_group,learning
71,1,1,vehicles,659,fruit_vegetable_group,learning
72,1,1,vehicles,549,fruit_vegetable_group,learning
73,1,1,vehicles,624,fruit_vegetable_group,learning
74,1,1,tools,576,fruit_vegetable_group,learning
75,1,1,vehicles,560,fruit_vegetable_group,learning
76,1,1,tools,549,fruit_vegetable_group,learning
77,1,1,vehicles,543,fruit_vegetable_group,learning
78,1,1,vehicles,539,fruit_vegetable_group,learning
79,1,1,tools,528,fruit_vegetable_group,learning
80,1,1,vehicles,675,fruit_vegetable_group,learning
81,1,1,tools,561,fruit_vegetable_group,learning
82,1,1,tools,696,fruit_vegetable_group,learning
83,1,1,vehicles,565,fruit_vegetable_group,learning
84,1,1,tools,597,fruit_vegetable_group,learning
85,1,1,tools,694,fruit_vegetable_group,learning
86,1,1,vehicles,720,fruit_vegetable_group,learning
87,1,1,tools,623,fruit_vegetable_group,learning
88,1,1,tools,634,fruit_vegetable_group,learning
89,1,1,tools,736,fruit_vegetable_group,learning
90,1,1,vehicles,482,fruit_vegetable_group,learning
91,1,1,tools,697,fruit_vegetable_group,learning
92,1,1,tools,679,fruit_vegetable_group,learning
93,1,1,tools,828,fruit_vegetable_group,learning
94,1,1,vehicles,730,fruit_vegetable_group,learning
95,1,1,vehicles,758,fruit_vegetable_group,learning
96,1,1,tools,645,fruit_vegetable_group,learning
97,1,1,tools,642,fruit_vegetable_group,learning
98,1,1,tools,733,fruit_vegetable_group,learning
99,1,1,vehicles,554,fruit_vegetable_group,learning
100,1,1,tools,576,fruit_vegetable_group,learning
101,1,1,tools,710,fruit_vegetable_group,learning
102,1,1,tools,565,fruit_vegetable_group,learning
103,1,1,tools,650,fruit_vegetable_group,learning
104,1,1,vehicles,535,fruit_vegetable_group,learning
105,1,1,vehicles,501,fruit_vegetable_group,learning
106,1,1,vehicles,505,fruit_vegetable_group,learning
107,1,1,vehicles,512,fruit_vegetable_group,learning
108,1,1,vehicles,437,fruit_vegetable_group,learning
109,1,1,tools,588,fruit_vegetable_group,learning
110,1,1,vehicles,637,fruit_vegetable_group,learning
111,1,1,vehicles,690,fruit_vegetable_group,learning
112,1,1,vehicles,544,fruit_vegetable_group,learning
